+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                    ;
+------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; controller|mm_interconnect_0|avalon_st_adapter                                                                                           ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|sdram_controller_0_avalon_slave_0_cmd_width_adapter                                                         ; 114   ; 3              ; 0            ; 3              ; 91     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|sdram_controller_0_avalon_slave_0_rsp_width_adapter|uncompressor                                            ; 43    ; 4              ; 0            ; 4              ; 34     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|sdram_controller_0_avalon_slave_0_rsp_width_adapter                                                         ; 96    ; 3              ; 0            ; 3              ; 109    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|rsp_mux_001|arb|adder                                                                                       ; 8     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|rsp_mux_001|arb                                                                                             ; 6     ; 0              ; 4            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|rsp_mux_001                                                                                                 ; 219   ; 0              ; 0            ; 0              ; 110    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|rsp_mux|arb|adder                                                                                           ; 16    ; 8              ; 0            ; 8              ; 8      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|rsp_mux|arb                                                                                                 ; 8     ; 0              ; 4            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|rsp_mux                                                                                                     ; 435   ; 0              ; 0            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|rsp_demux_003                                                                                               ; 112   ; 4              ; 2            ; 4              ; 217    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|rsp_demux_002                                                                                               ; 112   ; 4              ; 2            ; 4              ; 217    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|rsp_demux_001                                                                                               ; 111   ; 1              ; 2            ; 1              ; 109    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|rsp_demux                                                                                                   ; 111   ; 1              ; 2            ; 1              ; 109    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|cmd_mux_003|arb|adder                                                                                       ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|cmd_mux_003|arb                                                                                             ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|cmd_mux_003                                                                                                 ; 219   ; 0              ; 0            ; 0              ; 110    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|cmd_mux_002|arb|adder                                                                                       ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|cmd_mux_002|arb                                                                                             ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|cmd_mux_002                                                                                                 ; 219   ; 0              ; 0            ; 0              ; 110    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|cmd_mux_001                                                                                                 ; 111   ; 0              ; 2            ; 0              ; 109    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|cmd_mux                                                                                                     ; 111   ; 0              ; 2            ; 0              ; 109    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|cmd_demux_001                                                                                               ; 115   ; 4              ; 4            ; 4              ; 217    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|cmd_demux                                                                                                   ; 117   ; 16             ; 2            ; 16             ; 433    ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|sdram_controller_0_avalon_slave_0_burst_adapter|altera_merlin_burst_adapter_uncompressed_only.burst_adapter ; 93    ; 3              ; 5            ; 3              ; 91     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|sdram_controller_0_avalon_slave_0_burst_adapter                                                             ; 93    ; 0              ; 0            ; 0              ; 91     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|nios2_qsys_0_instruction_master_limiter                                                                     ; 220   ; 0              ; 0            ; 0              ; 221    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|nios2_qsys_0_data_master_limiter                                                                            ; 220   ; 0              ; 0            ; 0              ; 221    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|router_005|the_default_decode                                                                               ; 0     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|router_005                                                                                                  ; 107   ; 0              ; 2            ; 0              ; 109    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|router_004|the_default_decode                                                                               ; 0     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|router_004                                                                                                  ; 107   ; 0              ; 2            ; 0              ; 109    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|router_003|the_default_decode                                                                               ; 0     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|router_003                                                                                                  ; 89    ; 0              ; 2            ; 0              ; 91     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|router_002|the_default_decode                                                                               ; 0     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|router_002                                                                                                  ; 107   ; 0              ; 2            ; 0              ; 109    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|router_001|the_default_decode                                                                               ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|router_001                                                                                                  ; 107   ; 0              ; 4            ; 0              ; 109    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|router|the_default_decode                                                                                   ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|router                                                                                                      ; 107   ; 0              ; 4            ; 0              ; 109    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|onchip_memory2_0_s1_agent_rsp_fifo                                                                          ; 147   ; 39             ; 0            ; 39             ; 106    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|onchip_memory2_0_s1_agent|uncompressor                                                                      ; 43    ; 1              ; 0            ; 1              ; 41     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|onchip_memory2_0_s1_agent                                                                                   ; 291   ; 39             ; 41           ; 39             ; 317    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|nios2_qsys_0_jtag_debug_module_agent_rsp_fifo                                                               ; 147   ; 39             ; 0            ; 39             ; 106    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|nios2_qsys_0_jtag_debug_module_agent|uncompressor                                                           ; 43    ; 1              ; 0            ; 1              ; 41     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|nios2_qsys_0_jtag_debug_module_agent                                                                        ; 291   ; 39             ; 41           ; 39             ; 317    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|sdram_controller_0_avalon_slave_0_agent_rsp_fifo                                                            ; 129   ; 39             ; 0            ; 39             ; 88     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|sdram_controller_0_avalon_slave_0_agent|uncompressor                                                        ; 43    ; 1              ; 0            ; 1              ; 41     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|sdram_controller_0_avalon_slave_0_agent                                                                     ; 223   ; 22             ; 25           ; 22             ; 246    ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_agent_rsp_fifo                                                                ; 147   ; 39             ; 0            ; 39             ; 106    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_agent|uncompressor                                                            ; 43    ; 1              ; 0            ; 1              ; 41     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_agent                                                                         ; 291   ; 39             ; 41           ; 39             ; 317    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|nios2_qsys_0_instruction_master_agent                                                                       ; 181   ; 35             ; 77           ; 35             ; 139    ; 35              ; 35            ; 35              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|nios2_qsys_0_data_master_agent                                                                              ; 181   ; 35             ; 77           ; 35             ; 139    ; 35              ; 35            ; 35              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|onchip_memory2_0_s1_translator                                                                              ; 110   ; 7              ; 12           ; 7              ; 88     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|nios2_qsys_0_jtag_debug_module_translator                                                                   ; 110   ; 5              ; 18           ; 5              ; 82     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|sdram_controller_0_avalon_slave_0_translator                                                                ; 75    ; 4              ; 2            ; 4              ; 64     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_translator                                                                    ; 110   ; 5              ; 29           ; 5              ; 70     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|nios2_qsys_0_instruction_master_translator                                                                  ; 102   ; 60             ; 2            ; 60             ; 104    ; 60              ; 60            ; 60              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0|nios2_qsys_0_data_master_translator                                                                         ; 111   ; 12             ; 2            ; 12             ; 104    ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|mm_interconnect_0                                                                                                             ; 204   ; 0              ; 0            ; 0              ; 252    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|sys_sdram_pll_0|reset_from_locked                                                                                             ; 1     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|sys_sdram_pll_0|sys_pll                                                                                                       ; 2     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|sys_sdram_pll_0                                                                                                               ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|onchip_memory2_0|the_altsyncram|auto_generated|mux2                                                                           ; 130   ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|onchip_memory2_0|the_altsyncram|auto_generated|decode3                                                                        ; 3     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|onchip_memory2_0|the_altsyncram|auto_generated                                                                                ; 54    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|onchip_memory2_0                                                                                                              ; 58    ; 1              ; 1            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|nios2_qsys_0                                                                                                                  ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|jtag_uart_0|the_sopc_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|wr_ptr                                           ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|jtag_uart_0|the_sopc_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|rd_ptr_count                                     ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|jtag_uart_0|the_sopc_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram                                          ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|jtag_uart_0|the_sopc_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state|count_usedw                           ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|jtag_uart_0|the_sopc_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state                                       ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|jtag_uart_0|the_sopc_system_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo                                                  ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|jtag_uart_0|the_sopc_system_jtag_uart_0_scfifo_r|rfifo|auto_generated                                                         ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|jtag_uart_0|the_sopc_system_jtag_uart_0_scfifo_r                                                                              ; 13    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|jtag_uart_0|the_sopc_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|wr_ptr                                           ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|jtag_uart_0|the_sopc_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|rd_ptr_count                                     ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|jtag_uart_0|the_sopc_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram                                          ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|jtag_uart_0|the_sopc_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state|count_usedw                           ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|jtag_uart_0|the_sopc_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state                                       ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|jtag_uart_0|the_sopc_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo                                                  ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|jtag_uart_0|the_sopc_system_jtag_uart_0_scfifo_w|wfifo|auto_generated                                                         ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|jtag_uart_0|the_sopc_system_jtag_uart_0_scfifo_w                                                                              ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|jtag_uart_0                                                                                                                   ; 38    ; 10             ; 23           ; 10             ; 34     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|sdram_controller_0|my_sdram|the_DE1_SoC_QSYS_sdram_input_efifo_module                                                         ; 48    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|sdram_controller_0|my_sdram                                                                                                   ; 48    ; 1              ; 1            ; 1              ; 41     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; controller|sdram_controller_0                                                                                                            ; 48    ; 2              ; 0            ; 2              ; 40     ; 2               ; 2             ; 2               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; controller                                                                                                                               ; 2     ; 0              ; 0            ; 0              ; 23     ; 0               ; 0             ; 0               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
+------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
